MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21530491,5300000.0,85637,-110.3782,31.356362,2154.0,5272.0,1941,13,10.0,10500.0,0.0,4,6.0,2,45.0
21529082,4200000.0,85646,-111.045371,31.594213,1707.0,10422.36,1997,2,2.0,7300.0,0.0,2,5.0,2,45.0
3054672,4200000.0,85646,-111.040707,31.594844,1707.0,10482.0,1997,2,3.0,3512.0,3.0,3,5.0,2,45.0
21919321,4500000.0,85646,-111.035925,31.645878,636.67,8418.58,1930,7,5.0,9019.0,4.0,4,4.0,3,45.0
21306357,3411450.0,85750,-110.813768,32.285162,3.21,15393.0,1995,4,6.0,6396.0,3.0,5,5.0,2,45.0
21528016,3250000.0,85718,-110.910593,32.33909,1.67,27802.84,1999,3,4.0,6842.0,3.0,5,5.0,3,45.0
21610478,2400000.0,85712,-110.883315,32.261069,2.1,19038.42,2001,9,8.0,12025.0,4.0,3,6.0,4,45.0
21211741,2500000.0,85750,-110.861002,32.331603,1.07,21646.0,2011,6,8.0,8921.0,4.0,7,5.0,3,45.0
21324646,3700000.0,85718,-110.912156,32.343601,6.73,25094.39,2002,5,7.0,5238.0,3.0,7,1.0,4,45.0
21812010,3250000.0,85750,-110.83795,32.327575,3.53,18936.11,2007,5,6.0,6480.0,3.0,12,2.0,2,45.0
21900396,2776518.0,85640,-111.045441,31.562121,147.18,7330.36,1935,5,5.0,5067.0,5.0,5,5.0,3,45.0
21131956,2050000.0,85718,-110.918294,32.341609,1.65,24353.0,2009,5,6.0,7230.0,3.0,5,4.0,3,45.0
21217839,2100000.0,85637,-110.736202,31.721347,29.6,11723.0,1995,6,7.0,6454.0,3.0,5,4.0,3,45.0
21625369,2200000.0,85658,-111.049837,32.483063,1.82,5198.58,2015,4,6.0,5826.0,3.0,6,3.0,1,45.0
21534099,3000000.0,85739,-110.883068,32.508778,0.0,29669.0,2008,3,3.0,3095.0,0.0,5,3.0,2,45.0
21225585,2600000.0,85739,-110.883252,32.507699,0.0,18044.0,2008,3,3.0,3095.0,0.0,6,3.0,2,45.0
21700487,3000000.0,85750,-110.843588,32.327533,3.1,24040.26,2002,3,6.0,7756.0,3.0,9,3.0,2,45.0
21300933,2500000.0,85718,-110.942458,32.350702,1.25,19565.2,2010,4,5.0,5338.0,4.0,5,5.0,2,45.0
